age,gender,education,party,income,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,eu_vote,employment,student,condition
47,Female,BA,Lab,10-20K,0,4,3,3,8,5,10,Remain,Not in paid work,Yes,control
47,Female,BA,None,60-70K,1,1,1,1,1,1,3,Remain,Full-Time,No,control
41,Female,PG,Lib,70-80K,0,4,4,3,8,5,10,Remain,Part-Time,No,control
28,Female,A-lev,Lab,20-30K,0,5,5,3,9,4,8,Remain,Not in paid work,Yes,control
25,Female,BA,None,60-70K,0,5,5,5,10,6,10,Remain,Full-Time,No,control
43,Male,Post2,Lab,Under10K,0,5,5,4,10,10,10,Remain,Unemployed,No,control
25,Female,BA,None,60-70K,0,4,4,4,9,5,5,Remain,Part-Time,No,control
45,Female,BA,Lab,10-20K,0,5,5,3,10,5,5,Remain,Not in paid work,No,control
30,Female,PG,Lab,Under10K,0,5,4,5,10,6,10,Remain,Not in paid work,No,control
25,Male,BA,Lab,50-60K,0,5,4,4,9,7,9,Remain,Full-Time,No,control
36,Female,PG,Lab,20-30K,0,5,4,4,10,9,10,Remain,Full-Time,Yes,control
35,Female,BA,Lab,50-60K,0,4,4,3,9,5,9,Remain,Part-Time,No,control
32,Male,PG,None,30-40K,0,5,5,4,10,5,10,Remain,Full-Time,No,control
25,Male,BA,Lab,40-50K,0,5,5,5,10,5,10,Remain,Other,Yes,control
32,Male,BA,None,20-30K,0,5,5,4,10,5,9,Remain,Full-Time,No,control
26,Female,GCSEorLess,None,70-80K,1,3,3,2,5,1,10,Remain,Full-Time,No,control
65,Female,BA,None,10-20K,0,4,3,4,9,5,6,Remain,Part-Time,No,control
40,Male,GCSEorLess,Con,50-60K,1,2,3,2,1,1,3,Remain,Full-Time,No,control
34,Female,BA,Lab,30-40K,0,4,2,4,9,5,9,Remain,Full-Time,No,control
35,Male,BA,Lab,30-40K,0,5,4,5,8,5,10,Remain,Full-Time,No,control
33,Female,BA,Lab,70-80K,0,4,4,4,5,5,5,Remain,Part-Time,No,control
73,Female,A-lev,None,10-20K,0,4,4,3,8,6,9,Remain,Not in paid work,No,control
26,Male,BA,Con,30-40K,0,4,2,4,8,5,9,Remain,Full-Time,No,control
34,Female,GCSEorLess,None,40-50K,0,3,4,2,10,5,9,Remain,Part-Time,No,control
29,Male,PG,Lab,50-60K,0,5,4,4,3,4,3,Remain,Full-Time,No,control
44,Female,BA,Lab,70-80K,0,4,3,3,9,5,10,Remain,Full-Time,No,control
21,Female,BA,Lab,Under10K,0,5,4,4,10,5,10,Remain,Unemployed,Yes,control
34,Female,Post2,Lab,10-20K,1,2,2,3,1,4,3,Remain,Not in paid work,No,control
38,Male,BA,Lab,30-40K,0,5,5,4,10,5,10,Remain,Unemployed,No,control
21,Female,BA,Lab,20-30K,0,5,5,4,10,7,5,Remain,Part-Time,Yes,control
38,Female,BA,Lab,40-50K,1,4,4,4,7,5,9,Remain,Part-Time,No,control
38,Male,BA,SNP,40-50K,0,5,5,5,10,6,10,Remain,Full-Time,No,control
34,Male,Post2,Lab,60-70K,0,5,5,5,10,5,10,Remain,Part-Time,No,control
37,Male,BA,Grn,20-30K,0,4,4,4,10,5,10,Remain,Part-Time,No,control
36,Female,BA,Grn,30-40K,0,4,3,2,10,5,10,Remain,Part-Time,Yes,control
41,Female,PG,Lib,30-40K,0,4,4,4,10,5,10,Remain,Part-Time,No,control
21,Male,BA,Lab,10-20K,0,4,5,5,10,5,10,Remain,Part-Time,Yes,control
39,Female,PG,Grn,60-70K,0,5,5,4,10,5,10,Remain,Not in paid work,No,control
46,Female,BA,Con,30-40K,0,4,5,3,9,5,5,Remain,Full-Time,No,control
45,Female,GCSEorLess,None,20-30K,0,4,3,3,5,3,5,Remain,Not in paid work,No,control
34,Male,A-lev,Lab,20-30K,0,5,5,4,10,5,5,Remain,Full-Time,No,control
32,Female,BA,None,40-50K,0,5,5,4,10,5,10,Remain,Full-Time,No,control
34,Female,A-lev,Lab,10-20K,0,4,4,3,9,5,10,Remain,Not in paid work,Yes,control
22,Male,PG,Con,60-70K,0,2,3,3,7,5,10,Remain,Other,Yes,control
24,Male,BA,Lab,30-40K,0,4,4,4,9,6,6,Remain,Full-Time,No,control
35,Female,BA,Lab,70-80K,1,3,2,5,3,3,5,Remain,Full-Time,No,control
35,Male,Post2,Lab,10-20K,0,4,2,4,9,5,5,Remain,Full-Time,No,control
26,Female,PG,Grn,10-20K,0,2,2,4,9,4,7,Remain,Full-Time,Yes,control
36,Female,Post2,Lab,40-50K,0,4,4,4,8,5,9,Remain,Full-Time,No,control
37,Female,Post2,Lib,50-60K,0,5,5,4,5,5,10,Remain,Full-Time,No,control
46,Male,BA,Con,40-50K,0,4,4,3,5,4,9,Remain,Not in paid work,No,control
67,Female,BA,Lib,30-40K,0,5,5,3,9,5,8,Remain,Full-Time,No,control
36,Female,PG,Grn,20-30K,0,4,5,3,10,5,10,Remain,Full-Time,Yes,control
47,Female,BA,SNP,20-30K,0,5,5,4,10,5,10,Remain,Other,No,control
62,Female,Post2,Lib,10-20K,1,4,4,4,10,4,9,Remain,Part-Time,No,control
25,Female,PG,Grn,Over100K,0,5,4,5,10,5,10,Remain,Full-Time,No,control
33,Female,BA,Grn,40-50K,0,3,3,3,10,6,10,Remain,Part-Time,No,control
40,Male,BA,None,50-60K,1,4,2,4,10,5,5,Remain,Full-Time,No,control
22,Male,BA,Lab,60-70K,0,5,5,5,8,5,9,Remain,Other,Yes,control
21,Male,BA,Lab,10-20K,0,4,4,4,10,5,10,Remain,Other,Yes,control
41,Male,BA,None,70-80K,0,5,5,5,10,7,10,Remain,Full-Time,No,control
45,Male,Post2,Lab,90-100K,1,3,2,3,8,3,8,Remain,Full-Time,No,control
24,Male,BA,Grn,40-50K,0,4,3,3,5,5,6,Remain,Full-Time,No,control
33,Female,BA,Lib,70-80K,0,4,4,4,7,5,8,Remain,Part-Time,No,control
75,Female,GCSEorLess,Lab,30-40K,0,4,4,4,8,5,10,Remain,Not in paid work,No,control
35,Female,BA,Lab,40-50K,1,2,2,3,1,2,1,Remain,Part-Time,No,control
50,Female,BA,Lab,50-60K,0,4,3,3,9,5,10,Remain,Part-Time,No,control
33,Male,Post2,SNP,10-20K,0,4,4,4,10,7,9,Remain,Not in paid work,No,control
22,Female,BA,Grn,40-50K,0,5,5,5,9,8,9,Remain,Full-Time,No,control
33,Female,BA,Lab,30-40K,0,5,4,3,9,5,9,Remain,Full-Time,No,control
31,Female,A-lev,Con,80-90K,1,4,4,2,3,2,9,Remain,Full-Time,No,control
46,Female,BA,None,20-30K,0,4,4,3,5,4,8,Remain,Part-Time,No,control
58,Male,PG,Lib,Over100K,0,5,5,3,10,5,5,Remain,Not in paid work,No,control
21,Female,BA,Lab,30-40K,0,4,4,3,7,5,8,Remain,Unemployed,No,control
43,Male,PG,Grn,50-60K,0,3,2,4,8,5,10,Remain,Full-Time,No,control
27,Female,A-lev,Lab,30-40K,0,4,5,3,9,5,5,Remain,Unemployed,No,control
20,Female,A-lev,Lab,20-30K,0,4,4,2,9,5,8,Remain,Part-Time,Yes,control
32,Female,Post2,Lab,30-40K,1,4,4,4,5,5,5,Remain,Part-Time,Yes,control
39,Female,PG,Lab,70-80K,0,5,5,4,10,6,10,Remain,Part-Time,Yes,control
40,Female,BA,Lab,10-20K,1,2,2,2,2,3,9,Remain,Part-Time,No,control
66,Female,PG,SNP,30-40K,0,4,4,4,10,5,10,Remain,Not in paid work,No,control
23,Female,BA,Lab,30-40K,0,4,4,4,10,5,10,Remain,Other,Yes,control
21,Male,PG,Lab,10-20K,0,5,5,5,9,6,9,Remain,Full-Time,Yes,control
35,Female,BA,Rather_not_say,20-30K,0,5,2,3,4,3,5,Remain,Part-Time,No,control
54,Female,A-lev,Lab,10-20K,0,4,4,3,9,5,10,Remain,Part-Time,No,control
73,Male,PG,Lab,60-70K,0,5,3,5,10,9,10,Remain,Not in paid work,No,control
27,Female,BA,Grn,40-50K,0,5,4,3,10,5,10,Remain,Not in paid work,No,control
38,Female,BA,Lab,40-50K,0,4,4,3,6,5,5,Remain,Not in paid work,No,control
32,Female,BA,None,20-30K,0,5,5,4,9,5,10,Remain,Other,Yes,control
53,Male,BA,Grn,40-50K,0,5,1,5,10,5,9,Remain,Full-Time,No,control
37,Female,BA,Lab,30-40K,0,5,5,1,5,5,7,Remain,Not in paid work,No,control
31,Male,BA,Con,20-30K,0,3,3,3,5,5,8,Remain,Full-Time,No,control
18,Male,A-lev,Con,90-100K,1,2,1,1,0,0,0,Remain,Part-Time,Yes,control
38,Female,BA,Lab,30-40K,0,4,4,3,6,5,8,Remain,Not in paid work,No,control
24,Male,Post2,None,Over100K,1,4,3,4,3,3,3,Remain,Not in paid work,Yes,control
22,Female,A-lev,Con,10-20K,0,4,4,4,2,5,10,Remain,Part-Time,Yes,control
30,Female,BA,Con,Over100K,1,5,4,4,3,2,5,Remain,Full-Time,No,control
29,Female,BA,None,10-20K,0,4,4,4,7,6,6,Remain,Part-Time,No,control
25,Male,BA,Lab,40-50K,0,4,3,3,3,4,5,Remain,Unemployed,Yes,control
37,Male,A-lev,Lab,20-30K,0,4,3,4,9,5,9,Remain,Full-Time,No,control
26,Female,BA,None,40-50K,1,4,3,3,8,5,5,Remain,Not in paid work,No,control
31,Male,A-lev,Lab,60-70K,1,3,2,4,8,5,9,Remain,Full-Time,No,control
32,Female,BA,Lib,30-40K,0,4,3,3,3,5,8,Remain,Full-Time,No,control
52,Male,A-lev,Con,80-90K,0,3,4,3,7,5,9,Remain,Full-Time,No,control
37,Male,A-lev,Lab,10-20K,0,4,3,2,5,3,5,Remain,Full-Time,No,control
60,Female,A-lev,Lab,70-80K,1,2,3,3,2,3,7,Remain,Full-Time,No,control
51,Female,PG,SNP,40-50K,0,5,4,5,10,3,5,Remain,Part-Time,No,control
36,Female,BA,None,10-20K,1,2,3,2,3,2,3,Remain,Part-Time,No,control
46,Male,BA,None,30-40K,0,5,5,5,10,6,10,Remain,Full-Time,No,control
56,Male,Post2,Lab,30-40K,1,3,2,3,4,2,6,Remain,Not in paid work,No,control
32,Female,BA,Rather_not_say,30-40K,0,4,4,4,10,5,5,Remain,Full-Time,No,control
31,Female,PG,Lib,30-40K,0,5,4,4,9,5,9,Remain,Full-Time,No,control
28,Female,BA,Lab,70-80K,0,4,4,4,5,5,9,Remain,Not in paid work,No,control
46,Female,BA,Lab,60-70K,1,2,2,2,4,4,5,Remain,Full-Time,No,control
46,Female,PG,Con,60-70K,1,2,2,2,0,1,0,Remain,Full-Time,No,control
33,Female,Post2,SNP,50-60K,0,4,4,4,10,6,10,Remain,Full-Time,No,control
41,Female,A-lev,Grn,10-20K,0,5,5,4,10,5,10,Remain,Part-Time,No,control
63,Female,PG,SNP,10-20K,0,4,4,4,8,5,10,Remain,Part-Time,No,control
34,Female,GCSEorLess,Rather_not_say,40-50K,1,4,4,2,3,5,5,Remain,Part-Time,No,control
31,Male,BA,Rather_not_say,30-40K,0,4,4,3,6,4,9,Remain,Other,No,control
32,Female,BA,None,50-60K,1,5,5,3,5,3,9,Remain,Part-Time,Yes,control
44,Female,PG,Lib,70-80K,0,4,4,3,8,5,10,Remain,Full-Time,Yes,control
38,Female,BA,Lab,50-60K,0,5,5,4,9,5,9,Remain,Part-Time,No,control
35,Female,BA,None,40-50K,0,4,4,4,9,5,9,Remain,Part-Time,No,control
43,Female,BA,None,70-80K,0,3,3,4,10,7,10,Remain,Part-Time,No,control
27,Male,BA,Lab,30-40K,0,4,4,3,9,5,9,Remain,Full-Time,No,control
35,Female,BA,Lab,20-30K,1,4,2,4,7,3,5,Remain,Part-Time,No,control
29,Female,BA,Lab,20-30K,0,3,4,3,10,5,10,Remain,Full-Time,Yes,control
53,Female,PG,Grn,Over100K,0,5,5,5,10,10,10,Remain,Not in paid work,No,control
37,Male,A-lev,Lib,30-40K,0,5,4,3,10,5,10,Remain,Full-Time,No,control
30,Male,A-lev,Lab,40-50K,0,5,5,4,10,5,10,Remain,Full-Time,No,control
64,Male,PG,Lab,60-70K,0,5,5,4,9,5,9,Remain,Full-Time,No,control
38,Male,A-lev,None,10-20K,0,3,3,3,6,5,7,Remain,Unemployed,No,control
36,Female,PG,None,10-20K,0,5,5,4,8,5,10,Remain,Part-Time,No,control
22,Female,A-lev,Lab,Under10K,0,4,4,5,9,5,10,Remain,Unemployed,No,control
24,Female,A-lev,None,40-50K,0,4,4,3,6,4,5,Remain,Full-Time,No,control
38,Female,PG,Grn,40-50K,0,5,3,5,10,6,10,Remain,Part-Time,Yes,control
31,Female,A-lev,Con,Over100K,0,4,4,5,9,5,8,Remain,Full-Time,No,control
41,Female,BA,Grn,20-30K,0,4,4,4,10,7,10,Remain,Part-Time,No,control
31,Female,A-lev,Lab,Under10K,1,2,3,2,4,1,0,Remain,Unemployed,No,control
33,Female,A-lev,None,20-30K,0,4,4,3,9,5,5,Remain,Not in paid work,No,control
25,Male,PG,None,40-50K,1,2,4,2,4,5,10,Remain,Part-Time,No,control
32,Female,Post2,None,50-60K,1,2,2,3,1,0,5,Remain,Not in paid work,No,control
30,Male,PG,None,40-50K,0,4,3,3,9,5,10,Remain,Full-Time,No,control
22,Male,A-lev,Grn,10-20K,0,4,3,2,9,2,9,Remain,Unemployed,Yes,control
35,Male,PG,None,20-30K,0,4,4,3,3,5,9,Remain,Full-Time,No,control
22,Male,BA,Lab,10-20K,0,4,4,3,8,3,6,Remain,Part-Time,Yes,control
62,Female,PG,Lab,40-50K,0,5,5,3,10,5,10,Remain,Not in paid work,No,control
20,Female,A-lev,Grn,20-30K,1,4,4,4,5,4,10,Remain,Other,Yes,control
30,Female,PG,Lab,30-40K,0,4,4,4,8,5,5,Remain,Full-Time,No,control
26,Female,BA,Lab,20-30K,0,5,4,4,8,5,8,Remain,Not in paid work,No,control
32,Female,BA,None,60-70K,0,5,5,3,10,5,10,Remain,Full-Time,No,control
34,Female,BA,Lab,20-30K,0,5,5,5,5,8,5,Remain,Part-Time,No,control
74,Female,BA,Grn,Under10K,0,4,4,3,10,6,10,Remain,Not in paid work,No,control
22,Female,BA,Lab,Under10K,0,5,5,4,10,6,8,Remain,Other,Yes,control
36,Female,PG,None,Under10K,0,4,3,4,9,4,10,Remain,Full-Time,No,control
31,Female,BA,Con,80-90K,1,4,2,2,4,4,5,Remain,Part-Time,No,control
62,Male,Post2,Lab,30-40K,0,5,5,5,10,0,10,Remain,Full-Time,No,control
29,Male,PG,None,10-20K,0,4,5,4,9,5,10,Remain,Full-Time,No,control
21,Female,Post2,Lab,20-30K,0,5,5,4,10,5,10,Remain,Full-Time,Yes,control
33,Male,PG,SNP,40-50K,0,5,5,4,9,6,9,Remain,Full-Time,No,control
42,Female,BA,None,30-40K,0,5,5,5,10,5,10,Remain,Full-Time,No,control
48,Female,GCSEorLess,Lab,50-60K,1,2,2,1,5,0,2,Remain,Part-Time,No,control
32,Female,BA,Lab,10-20K,0,5,5,4,10,5,8,Remain,Not in paid work,No,control
40,Female,BA,Con,60-70K,0,4,3,4,5,5,5,Remain,Part-Time,No,control
29,Male,PG,Lib,80-90K,0,4,4,4,9,7,10,Remain,Full-Time,No,control
31,Female,BA,Rather_not_say,10-20K,0,3,3,3,8,5,5,Remain,Full-Time,No,control
48,Female,A-lev,Grn,30-40K,0,5,4,3,10,10,10,Remain,Not in paid work,No,control
28,Female,GCSEorLess,Rather_not_say,10-20K,1,2,3,2,3,2,5,Remain,Part-Time,No,control
35,Male,A-lev,Lab,10-20K,0,4,4,4,8,4,8,Remain,Part-Time,No,control
28,Female,BA,Lab,60-70K,0,5,5,3,9,5,5,Remain,Part-Time,No,control
49,Female,GCSEorLess,Lab,10-20K,0,5,5,5,10,10,10,Remain,Not in paid work,No,control
26,Male,BA,None,20-30K,0,5,5,4,10,7,10,Remain,Full-Time,No,control
41,Male,BA,Lib,30-40K,0,5,4,4,10,5,10,Remain,Full-Time,No,control
28,Male,BA,Lab,70-80K,0,5,5,4,9,5,5,Remain,Full-Time,No,control
39,Female,BA,Lab,60-70K,0,4,4,3,9,5,7,Remain,Part-Time,No,control
33,Male,PG,Rather_not_say,50-60K,0,4,4,4,9,5,5,Remain,Full-Time,No,control
27,Male,PG,SNP,20-30K,0,4,5,3,10,5,10,Remain,Unemployed,No,control
29,Female,PG,Lab,20-30K,0,4,4,3,9,6,9,Remain,Part-Time,Yes,control
21,Female,A-lev,Lab,20-30K,0,5,5,4,10,7,5,Remain,Full-Time,No,control
22,Female,A-lev,Rather_not_say,20-30K,0,4,4,3,5,5,7,Remain,Other,Yes,control
27,Female,BA,Lab,20-30K,0,5,4,3,8,5,5,Remain,Full-Time,No,control
39,Female,PG,Lab,40-50K,1,3,3,1,4,2,10,Remain,Part-Time,No,control
48,Female,GCSEorLess,Lab,40-50K,1,4,3,3,4,3,5,Remain,Not in paid work,No,control
26,Male,BA,Con,30-40K,0,5,5,5,9,5,10,Remain,Full-Time,No,control
63,Female,PG,Lib,40-50K,0,4,3,2,9,5,10,Remain,Not in paid work,No,control
51,Male,Post2,Lab,60-70K,0,4,4,3,8,5,5,Remain,Full-Time,Yes,control
29,Female,A-lev,Grn,30-40K,1,4,4,2,2,1,3,Remain,Full-Time,No,control
31,Male,BA,None,30-40K,0,4,4,5,10,10,10,Remain,Full-Time,Yes,control
28,Male,A-lev,Lib,30-40K,0,4,4,2,7,3,6,Remain,Full-Time,Yes,control
49,Female,GCSEorLess,Lab,Under10K,0,4,4,4,7,5,8,Remain,Not in paid work,No,control
38,Male,A-lev,Con,50-60K,0,4,4,4,9,5,10,Remain,Full-Time,No,control
23,Male,PG,Lab,40-50K,0,4,4,4,9,4,8,Remain,Part-Time,Yes,control
44,Female,PG,None,80-90K,0,5,5,5,10,5,10,Remain,Full-Time,No,control
64,Female,A-lev,Lib,10-20K,0,4,4,5,6,4,5,Remain,Not in paid work,No,control
33,Female,BA,Lab,90-100K,0,4,4,4,9,5,10,Remain,Part-Time,No,control
26,Female,Post2,Lab,Under10K,1,3,1,4,3,4,8,Remain,Other,Yes,control
28,Female,PG,None,70-80K,0,4,3,4,10,5,10,Remain,Full-Time,No,control
64,Female,Post2,Rather_not_say,40-50K,1,2,5,3,5,3,5,Remain,Not in paid work,No,control
25,Male,A-lev,Lab,40-50K,1,5,5,5,9,7,9,Remain,Full-Time,No,control
59,Female,BA,Lab,50-60K,0,5,4,4,10,6,10,Remain,Not in paid work,No,control
40,Female,BA,Lab,40-50K,0,4,4,4,10,6,5,Remain,Not in paid work,No,control
34,Female,BA,Lab,60-70K,0,4,5,4,9,5,10,Remain,Full-Time,No,control
20,Female,A-lev,Lab,10-20K,0,4,3,3,8,4,10,Remain,Part-Time,Yes,control
29,Male,BA,Con,20-30K,0,4,4,3,6,5,8,Remain,Full-Time,No,control
29,Female,BA,Lab,10-20K,0,4,4,3,6,4,7,Remain,Not in paid work,No,control
65,Male,A-lev,None,Under10K,0,4,4,3,5,4,6,Remain,Not in paid work,No,control
34,Female,A-lev,Lab,10-20K,1,4,3,2,5,4,5,Remain,Part-Time,No,control
24,Female,BA,Lab,20-30K,0,4,4,5,10,5,10,Remain,Part-Time,Yes,control
30,Female,PG,Lab,70-80K,0,4,3,4,10,5,10,Remain,Full-Time,No,control
27,Female,PG,Lab,50-60K,0,4,4,4,10,4,10,Remain,Part-Time,No,control
40,Female,BA,Con,70-80K,1,3,2,2,3,3,7,Remain,Full-Time,No,control
54,Male,GCSEorLess,Lab,20-30K,1,4,2,2,4,6,3,Remain,Part-Time,No,control
40,Female,PG,SNP,90-100K,0,5,5,5,10,6,10,Remain,Full-Time,No,control
45,Female,BA,Lab,10-20K,0,5,5,5,10,10,10,Remain,Part-Time,No,control
59,Female,PG,Lib,50-60K,0,5,4,3,9,5,10,Remain,Part-Time,No,control
62,Male,BA,Con,Over100K,0,4,4,3,4,5,4,Remain,Full-Time,No,control
38,Female,BA,None,60-70K,0,4,4,3,9,5,7,Remain,Part-Time,No,control
34,Female,BA,None,50-60K,0,4,3,4,7,5,9,Remain,Part-Time,No,control
39,Female,PG,None,90-100K,1,4,2,2,8,8,10,Remain,Full-Time,No,control
44,Female,GCSEorLess,Con,20-30K,1,4,2,4,3,3,5,Remain,Full-Time,No,control
53,Female,GCSEorLess,Lab,50-60K,0,4,4,3,3,4,5,Remain,Part-Time,No,control
35,Female,BA,Con,40-50K,0,4,4,4,5,5,8,Remain,Full-Time,No,control
47,Female,BA,None,Under10K,0,5,5,4,10,5,8,Remain,Full-Time,No,control
34,Female,BA,Grn,70-80K,0,4,5,4,10,10,9,Remain,Full-Time,No,control
37,Male,Post2,Lab,20-30K,1,3,4,4,3,6,5,Remain,Full-Time,No,control
36,Female,BA,Lab,50-60K,0,4,4,3,6,5,10,Remain,Full-Time,No,control
25,Male,BA,Lab,40-50K,0,5,5,5,10,1,10,Remain,Full-Time,No,control
49,Female,BA,Lab,50-60K,0,5,5,5,8,9,9,Remain,Not in paid work,No,control
43,Male,A-lev,Con,20-30K,1,1,1,3,0,0,0,Remain,Full-Time,No,control
34,Male,BA,None,50-60K,0,4,4,4,7,5,10,Remain,Full-Time,No,control
21,Male,BA,Lab,Under10K,0,5,5,5,10,6,10,Remain,Unemployed,Yes,control
33,Male,BA,Lib,50-60K,0,3,3,4,8,5,9,Remain,Full-Time,No,control
24,Female,BA,Lab,20-30K,0,4,4,3,7,4,10,Remain,Full-Time,No,control
37,Female,A-lev,None,50-60K,1,2,2,2,4,3,7,Remain,Not in paid work,No,control
25,Female,A-lev,Lab,40-50K,1,4,2,2,3,4,6,Remain,Not in paid work,No,control
31,Female,BA,Grn,60-70K,0,4,4,4,9,5,9,Remain,Part-Time,No,control
32,Female,PG,Lab,50-60K,0,5,5,5,9,1,9,Remain,Full-Time,Yes,control
28,Female,BA,Grn,30-40K,0,5,5,3,10,6,10,Remain,Part-Time,No,control
37,Male,GCSEorLess,Rather_not_say,10-20K,1,2,2,2,3,2,5,No vote,Full-Time,No,control
35,Male,GCSEorLess,None,Under10K,1,1,3,4,1,1,5,Leave,Not in paid work,No,control
52,Female,Post2,None,10-20K,1,1,1,1,0,0,0,Leave,Part-Time,No,control
19,Male,BA,Lab,40-50K,1,4,4,5,8,5,5,Leave,Not in paid work,Yes,control
20,Male,A-lev,Rather_not_say,20-30K,0,4,4,3,6,5,5,Leave,Other,Yes,control
39,Male,GCSEorLess,Con,10-20K,1,2,1,3,2,2,1,Leave,Part-Time,No,control
45,Female,A-lev,None,10-20K,1,4,2,3,2,7,0,Leave,Part-Time,No,control
18,Female,GCSEorLess,None,20-30K,0,3,3,3,5,3,5,No vote,Part-Time,No,control
35,Female,GCSEorLess,None,20-30K,1,2,4,4,1,4,5,Leave,Not in paid work,No,control
51,Female,A-lev,None,10-20K,0,4,4,3,6,5,5,Leave,Not in paid work,No,control
19,Male,PG,Lab,90-100K,0,5,5,4,9,1,9,No vote,Part-Time,Yes,control
18,Male,A-lev,Con,30-40K,0,5,5,4,4,8,10,Leave,Part-Time,No,control
36,Female,BA,Con,50-60K,1,2,4,4,2,2,0,Leave,Full-Time,No,control
27,Male,A-lev,Lab,10-20K,1,4,3,3,4,3,4,Leave,Full-Time,No,control
25,Male,GCSEorLess,Lab,20-30K,1,5,3,3,0,10,5,Leave,Not in paid work,No,control
20,Male,A-lev,Lib,40-50K,0,4,3,3,8,5,7,No vote,Full-Time,No,control
41,Male,BA,Lab,10-20K,1,3,2,2,0,2,3,No vote,Part-Time,No,control
28,Female,GCSEorLess,UKIP,Under10K,1,1,5,1,0,10,0,No vote,Not in paid work,No,control
24,Male,GCSEorLess,None,Under10K,0,4,3,3,3,4,8,No vote,Unemployed,No,control
40,Female,Post2,Con,10-20K,0,4,4,3,8,4,5,Leave,Full-Time,No,control
33,Male,A-lev,None,40-50K,1,4,3,3,4,4,4,Leave,Full-Time,No,control
25,Female,BA,Grn,40-50K,1,5,4,3,3,3,0,Leave,Full-Time,No,control
43,Male,PG,None,Over100K,1,2,2,2,0,0,0,Leave,Full-Time,No,control
47,Male,GCSEorLess,Lab,10-20K,1,1,1,1,0,0,3,Leave,Not in paid work,No,control
34,Female,BA,None,30-40K,1,4,3,3,3,3,2,Leave,Not in paid work,No,control
47,Male,GCSEorLess,Lab,10-20K,1,3,4,2,0,2,5,Leave,Not in paid work,No,control
46,Female,Post2,Lab,10-20K,1,2,4,4,1,9,1,Leave,Part-Time,No,control
63,Male,BA,Con,90-100K,1,2,2,3,2,8,3,Leave,Full-Time,No,control
18,Female,A-lev,Lab,10-20K,0,5,3,3,9,7,5,No vote,Other,Yes,control
52,Female,GCSEorLess,UKIP,30-40K,1,2,3,2,3,2,1,Leave,Part-Time,No,control
31,Female,BA,None,70-80K,0,5,5,3,7,5,8,No vote,Unemployed,No,control
18,Male,A-lev,Lib,90-100K,0,4,4,4,10,5,8,No vote,Part-Time,Yes,control
49,Male,A-lev,Con,20-30K,1,4,2,3,4,2,3,Leave,Part-Time,No,control
44,Male,BA,Con,40-50K,1,3,1,4,6,3,8,Leave,Full-Time,No,control
57,Male,A-lev,None,30-40K,0,3,2,3,6,5,3,Leave,Full-Time,No,control
