age,gender,education,party,income,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,condition,eu_vote,employment,student
65,Female,BA,None,10-20K,0,4,3,4,9,5,6,control,Remain,Part-Time,No
40,Male,GCSEorLess,Con,50-60K,1,2,3,2,1,1,3,control,Remain,Full-Time,No
34,Female,BA,Lab,30-40K,0,4,2,4,9,5,9,control,Remain,Full-Time,No
35,Male,BA,Lab,30-40K,0,5,4,5,8,5,10,control,Remain,Full-Time,No
33,Female,BA,Lab,70-80K,0,4,4,4,5,5,5,control,Remain,Part-Time,No
73,Female,A-lev,None,10-20K,0,4,4,3,8,6,9,control,Remain,Not in paid work,No
26,Male,BA,Con,30-40K,0,4,2,4,8,5,9,control,Remain,Full-Time,No
29,Male,PG,Lab,50-60K,0,5,4,4,3,4,3,control,Remain,Full-Time,No
44,Female,BA,Lab,70-80K,0,4,3,3,9,5,10,control,Remain,Full-Time,No
21,Female,BA,Lab,Under10K,0,5,4,4,10,5,10,control,Remain,Unemployed,Yes
34,Female,Post2,Lab,10-20K,1,2,2,3,1,4,3,control,Remain,Not in paid work,No
38,Male,BA,Lab,30-40K,0,5,5,4,10,5,10,control,Remain,Unemployed,No
38,Female,BA,Lab,40-50K,1,4,4,4,7,5,9,control,Remain,Part-Time,No
38,Male,BA,SNP,40-50K,0,5,5,5,10,6,10,control,Remain,Full-Time,No
34,Male,Post2,Lab,60-70K,0,5,5,5,10,5,10,control,Remain,Part-Time,No
37,Male,BA,Grn,20-30K,0,4,4,4,10,5,10,control,Remain,Part-Time,No
36,Female,BA,Grn,30-40K,0,4,3,2,10,5,10,control,Remain,Part-Time,Yes
41,Female,PG,Lib,30-40K,0,4,4,4,10,5,10,control,Remain,Part-Time,No
21,Male,BA,Lab,10-20K,0,4,5,5,10,5,10,control,Remain,Part-Time,Yes
39,Female,PG,Grn,60-70K,0,5,5,4,10,5,10,control,Remain,Not in paid work,No
46,Female,BA,Con,30-40K,0,4,5,3,9,5,5,control,Remain,Full-Time,No
45,Female,GCSEorLess,None,20-30K,0,4,3,3,5,3,5,control,Remain,Not in paid work,No
34,Male,A-lev,Lab,20-30K,0,5,5,4,10,5,5,control,Remain,Full-Time,No
32,Female,BA,None,40-50K,0,5,5,4,10,5,10,control,Remain,Full-Time,No
34,Female,A-lev,Lab,10-20K,0,4,4,3,9,5,10,control,Remain,Not in paid work,Yes
22,Male,PG,Con,60-70K,0,2,3,3,7,5,10,control,Remain,Other,Yes
24,Male,BA,Lab,30-40K,0,4,4,4,9,6,6,control,Remain,Full-Time,No
35,Female,BA,Lab,70-80K,1,3,2,5,3,3,5,control,Remain,Full-Time,No
26,Female,PG,Grn,10-20K,0,2,2,4,9,4,7,control,Remain,Full-Time,Yes
36,Female,Post2,Lab,40-50K,0,4,4,4,8,5,9,control,Remain,Full-Time,No
37,Female,Post2,Lib,50-60K,0,5,5,4,5,5,10,control,Remain,Full-Time,No
67,Female,BA,Lib,30-40K,0,5,5,3,9,5,8,control,Remain,Full-Time,No
36,Female,PG,Grn,20-30K,0,4,5,3,10,5,10,control,Remain,Full-Time,Yes
47,Female,BA,SNP,20-30K,0,5,5,4,10,5,10,control,Remain,Other,No
62,Female,Post2,Lib,10-20K,1,4,4,4,10,4,9,control,Remain,Part-Time,No
25,Female,PG,Grn,Over100K,0,5,4,5,10,5,10,control,Remain,Full-Time,No
33,Female,BA,Grn,40-50K,0,3,3,3,10,6,10,control,Remain,Part-Time,No
40,Male,BA,None,50-60K,1,4,2,4,10,5,5,control,Remain,Full-Time,No
22,Male,BA,Lab,60-70K,0,5,5,5,8,5,9,control,Remain,Other,Yes
41,Male,BA,None,70-80K,0,5,5,5,10,7,10,control,Remain,Full-Time,No
45,Male,Post2,Lab,90-100K,1,3,2,3,8,3,8,control,Remain,Full-Time,No
24,Male,BA,Grn,40-50K,0,4,3,3,5,5,6,control,Remain,Full-Time,No
75,Female,GCSEorLess,Lab,30-40K,0,4,4,4,8,5,10,control,Remain,Not in paid work,No
35,Female,BA,Lab,40-50K,1,2,2,3,1,2,1,control,Remain,Part-Time,No
50,Female,BA,Lab,50-60K,0,4,3,3,9,5,10,control,Remain,Part-Time,No
33,Male,Post2,SNP,10-20K,0,4,4,4,10,7,9,control,Remain,Not in paid work,No
22,Female,BA,Grn,40-50K,0,5,5,5,9,8,9,control,Remain,Full-Time,No
33,Female,BA,Lab,30-40K,0,5,4,3,9,5,9,control,Remain,Full-Time,No
31,Female,A-lev,Con,80-90K,1,4,4,2,3,2,9,control,Remain,Full-Time,No
58,Male,PG,Lib,Over100K,0,5,5,3,10,5,5,control,Remain,Not in paid work,No
43,Male,PG,Grn,50-60K,0,3,2,4,8,5,10,control,Remain,Full-Time,No
27,Female,A-lev,Lab,30-40K,0,4,5,3,9,5,5,control,Remain,Unemployed,No
20,Female,A-lev,Lab,20-30K,0,4,4,2,9,5,8,control,Remain,Part-Time,Yes
32,Female,Post2,Lab,30-40K,1,4,4,4,5,5,5,control,Remain,Part-Time,Yes
40,Female,BA,Lab,10-20K,1,2,2,2,2,3,9,control,Remain,Part-Time,No
66,Female,PG,SNP,30-40K,0,4,4,4,10,5,10,control,Remain,Not in paid work,No
23,Female,BA,Lab,30-40K,0,4,4,4,10,5,10,control,Remain,Other,Yes
21,Male,PG,Lab,10-20K,0,5,5,5,9,6,9,control,Remain,Full-Time,Yes
35,Female,BA,Rather_not_say,20-30K,0,5,2,3,4,3,5,control,Remain,Part-Time,No
54,Female,A-lev,Lab,10-20K,0,4,4,3,9,5,10,control,Remain,Part-Time,No
73,Male,PG,Lab,60-70K,0,5,3,5,10,9,10,control,Remain,Not in paid work,No
32,Female,BA,None,20-30K,0,5,5,4,9,5,10,control,Remain,Other,Yes
53,Male,BA,Grn,40-50K,0,5,1,5,10,5,9,control,Remain,Full-Time,No
37,Female,BA,Lab,30-40K,0,5,5,1,5,5,7,control,Remain,Not in paid work,No
18,Male,A-lev,Con,90-100K,1,2,1,1,0,0,0,control,Remain,Part-Time,Yes
38,Female,BA,Lab,30-40K,0,4,4,3,6,5,8,control,Remain,Not in paid work,No
22,Female,A-lev,Con,10-20K,0,4,4,4,2,5,10,control,Remain,Part-Time,Yes
30,Female,BA,Con,Over100K,1,5,4,4,3,2,5,control,Remain,Full-Time,No
29,Female,BA,None,10-20K,0,4,4,4,7,6,6,control,Remain,Part-Time,No
37,Male,A-lev,Lab,20-30K,0,4,3,4,9,5,9,control,Remain,Full-Time,No
32,Female,BA,Lib,30-40K,0,4,3,3,3,5,8,control,Remain,Full-Time,No
52,Male,A-lev,Con,80-90K,0,3,4,3,7,5,9,control,Remain,Full-Time,No
37,Male,A-lev,Lab,10-20K,0,4,3,2,5,3,5,control,Remain,Full-Time,No
60,Female,A-lev,Lab,70-80K,1,2,3,3,2,3,7,control,Remain,Full-Time,No
36,Female,BA,None,10-20K,1,2,3,2,3,2,3,control,Remain,Part-Time,No
46,Male,BA,None,30-40K,0,5,5,5,10,6,10,control,Remain,Full-Time,No
56,Male,Post2,Lab,30-40K,1,3,2,3,4,2,6,control,Remain,Not in paid work,No
32,Female,BA,Rather_not_say,30-40K,0,4,4,4,10,5,5,control,Remain,Full-Time,No
31,Female,PG,Lib,30-40K,0,5,4,4,9,5,9,control,Remain,Full-Time,No
28,Female,BA,Lab,70-80K,0,4,4,4,5,5,9,control,Remain,Not in paid work,No
46,Female,BA,Lab,60-70K,1,2,2,2,4,4,5,control,Remain,Full-Time,No
46,Female,PG,Con,60-70K,1,2,2,2,0,1,0,control,Remain,Full-Time,No
33,Female,Post2,SNP,50-60K,0,4,4,4,10,6,10,control,Remain,Full-Time,No
41,Female,A-lev,Grn,10-20K,0,5,5,4,10,5,10,control,Remain,Part-Time,No
63,Female,PG,SNP,10-20K,0,4,4,4,8,5,10,control,Remain,Part-Time,No
31,Male,BA,Rather_not_say,30-40K,0,4,4,3,6,4,9,control,Remain,Other,No
32,Female,BA,None,50-60K,1,5,5,3,5,3,9,control,Remain,Part-Time,Yes
44,Female,PG,Lib,70-80K,0,4,4,3,8,5,10,control,Remain,Full-Time,Yes
38,Female,BA,Lab,50-60K,0,5,5,4,9,5,9,control,Remain,Part-Time,No
35,Female,BA,None,40-50K,0,4,4,4,9,5,9,control,Remain,Part-Time,No
43,Female,BA,None,70-80K,0,3,3,4,10,7,10,control,Remain,Part-Time,No
27,Male,BA,Lab,30-40K,0,4,4,3,9,5,9,control,Remain,Full-Time,No
35,Female,BA,Lab,20-30K,1,4,2,4,7,3,5,control,Remain,Part-Time,No
29,Female,BA,Lab,20-30K,0,3,4,3,10,5,10,control,Remain,Full-Time,Yes
53,Female,PG,Grn,Over100K,0,5,5,5,10,10,10,control,Remain,Not in paid work,No
30,Male,A-lev,Lab,40-50K,0,5,5,4,10,5,10,control,Remain,Full-Time,No
64,Male,PG,Lab,60-70K,0,5,5,4,9,5,9,control,Remain,Full-Time,No
36,Female,PG,None,10-20K,0,5,5,4,8,5,10,control,Remain,Part-Time,No
24,Female,A-lev,None,40-50K,0,4,4,3,6,4,5,control,Remain,Full-Time,No
38,Female,PG,Grn,40-50K,0,5,3,5,10,6,10,control,Remain,Part-Time,Yes
41,Female,BA,Grn,20-30K,0,4,4,4,10,7,10,control,Remain,Part-Time,No
33,Female,A-lev,None,20-30K,0,4,4,3,9,5,5,control,Remain,Not in paid work,No
32,Female,Post2,None,50-60K,1,2,2,3,1,0,5,control,Remain,Not in paid work,No
30,Male,PG,None,40-50K,0,4,3,3,9,5,10,control,Remain,Full-Time,No
22,Male,A-lev,Grn,10-20K,0,4,3,2,9,2,9,control,Remain,Unemployed,Yes
22,Male,BA,Lab,10-20K,0,4,4,3,8,3,6,control,Remain,Part-Time,Yes
62,Female,PG,Lab,40-50K,0,5,5,3,10,5,10,control,Remain,Not in paid work,No
30,Female,PG,Lab,30-40K,0,4,4,4,8,5,5,control,Remain,Full-Time,No
26,Female,BA,Lab,20-30K,0,5,4,4,8,5,8,control,Remain,Not in paid work,No
32,Female,BA,None,60-70K,0,5,5,3,10,5,10,control,Remain,Full-Time,No
74,Female,BA,Grn,Under10K,0,4,4,3,10,6,10,control,Remain,Not in paid work,No
22,Female,BA,Lab,Under10K,0,5,5,4,10,6,8,control,Remain,Other,Yes
36,Female,PG,None,Under10K,0,4,3,4,9,4,10,control,Remain,Full-Time,No
31,Female,BA,Con,80-90K,1,4,2,2,4,4,5,control,Remain,Part-Time,No
62,Male,Post2,Lab,30-40K,0,5,5,5,10,0,10,control,Remain,Full-Time,No
29,Male,PG,None,10-20K,0,4,5,4,9,5,10,control,Remain,Full-Time,No
33,Male,PG,SNP,40-50K,0,5,5,4,9,6,9,control,Remain,Full-Time,No
42,Female,BA,None,30-40K,0,5,5,5,10,5,10,control,Remain,Full-Time,No
48,Female,GCSEorLess,Lab,50-60K,1,2,2,1,5,0,2,control,Remain,Part-Time,No
32,Female,BA,Lab,10-20K,0,5,5,4,10,5,8,control,Remain,Not in paid work,No
29,Male,PG,Lib,80-90K,0,4,4,4,9,7,10,control,Remain,Full-Time,No
31,Female,BA,Rather_not_say,10-20K,0,3,3,3,8,5,5,control,Remain,Full-Time,No
48,Female,A-lev,Grn,30-40K,0,5,4,3,10,10,10,control,Remain,Not in paid work,No
28,Female,GCSEorLess,Rather_not_say,10-20K,1,2,3,2,3,2,5,control,Remain,Part-Time,No
35,Male,A-lev,Lab,10-20K,0,4,4,4,8,4,8,control,Remain,Part-Time,No
28,Female,BA,Lab,60-70K,0,5,5,3,9,5,5,control,Remain,Part-Time,No
26,Male,BA,None,20-30K,0,5,5,4,10,7,10,control,Remain,Full-Time,No
41,Male,BA,Lib,30-40K,0,5,4,4,10,5,10,control,Remain,Full-Time,No
28,Male,BA,Lab,70-80K,0,5,5,4,9,5,5,control,Remain,Full-Time,No
39,Female,BA,Lab,60-70K,0,4,4,3,9,5,7,control,Remain,Part-Time,No
27,Male,PG,SNP,20-30K,0,4,5,3,10,5,10,control,Remain,Unemployed,No
29,Female,PG,Lab,20-30K,0,4,4,3,9,6,9,control,Remain,Part-Time,Yes
21,Female,A-lev,Lab,20-30K,0,5,5,4,10,7,5,control,Remain,Full-Time,No
27,Female,BA,Lab,20-30K,0,5,4,3,8,5,5,control,Remain,Full-Time,No
48,Female,GCSEorLess,Lab,40-50K,1,4,3,3,4,3,5,control,Remain,Not in paid work,No
26,Male,BA,Con,30-40K,0,5,5,5,9,5,10,control,Remain,Full-Time,No
63,Female,PG,Lib,40-50K,0,4,3,2,9,5,10,control,Remain,Not in paid work,No
29,Female,A-lev,Grn,30-40K,1,4,4,2,2,1,3,control,Remain,Full-Time,No
31,Male,BA,None,30-40K,0,4,4,5,10,10,10,control,Remain,Full-Time,Yes
38,Male,A-lev,Con,50-60K,0,4,4,4,9,5,10,control,Remain,Full-Time,No
23,Male,PG,Lab,40-50K,0,4,4,4,9,4,8,control,Remain,Part-Time,Yes
44,Female,PG,None,80-90K,0,5,5,5,10,5,10,control,Remain,Full-Time,No
64,Female,A-lev,Lib,10-20K,0,4,4,5,6,4,5,control,Remain,Not in paid work,No
33,Female,BA,Lab,90-100K,0,4,4,4,9,5,10,control,Remain,Part-Time,No
26,Female,Post2,Lab,Under10K,1,3,1,4,3,4,8,control,Remain,Other,Yes
28,Female,PG,None,70-80K,0,4,3,4,10,5,10,control,Remain,Full-Time,No
64,Female,Post2,Rather_not_say,40-50K,1,2,5,3,5,3,5,control,Remain,Not in paid work,No
25,Male,A-lev,Lab,40-50K,1,5,5,5,9,7,9,control,Remain,Full-Time,No
59,Female,BA,Lab,50-60K,0,5,4,4,10,6,10,control,Remain,Not in paid work,No
40,Female,BA,Lab,40-50K,0,4,4,4,10,6,5,control,Remain,Not in paid work,No
24,Female,BA,Lab,20-30K,0,4,4,5,10,5,10,control,Remain,Part-Time,Yes
40,Female,BA,Con,70-80K,1,3,2,2,3,3,7,control,Remain,Full-Time,No
54,Male,GCSEorLess,Lab,20-30K,1,4,2,2,4,6,3,control,Remain,Part-Time,No
40,Female,PG,SNP,90-100K,0,5,5,5,10,6,10,control,Remain,Full-Time,No
45,Female,BA,Lab,10-20K,0,5,5,5,10,10,10,control,Remain,Part-Time,No
59,Female,PG,Lib,50-60K,0,5,4,3,9,5,10,control,Remain,Part-Time,No
62,Male,BA,Con,Over100K,0,4,4,3,4,5,4,control,Remain,Full-Time,No
34,Female,BA,None,50-60K,0,4,3,4,7,5,9,control,Remain,Part-Time,No
39,Female,PG,None,90-100K,1,4,2,2,8,8,10,control,Remain,Full-Time,No
44,Female,GCSEorLess,Con,20-30K,1,4,2,4,3,3,5,control,Remain,Full-Time,No
35,Female,BA,Con,40-50K,0,4,4,4,5,5,8,control,Remain,Full-Time,No
47,Female,BA,None,Under10K,0,5,5,4,10,5,8,control,Remain,Full-Time,No
34,Female,BA,Grn,70-80K,0,4,5,4,10,10,9,control,Remain,Full-Time,No
36,Female,BA,Lab,50-60K,0,4,4,3,6,5,10,control,Remain,Full-Time,No
25,Male,BA,Lab,40-50K,0,5,5,5,10,1,10,control,Remain,Full-Time,No
49,Female,BA,Lab,50-60K,0,5,5,5,8,9,9,control,Remain,Not in paid work,No
43,Male,A-lev,Con,20-30K,1,1,1,3,0,0,0,control,Remain,Full-Time,No
34,Male,BA,None,50-60K,0,4,4,4,7,5,10,control,Remain,Full-Time,No
21,Male,BA,Lab,Under10K,0,5,5,5,10,6,10,control,Remain,Unemployed,Yes
33,Male,BA,Lib,50-60K,0,3,3,4,8,5,9,control,Remain,Full-Time,No
24,Female,BA,Lab,20-30K,0,4,4,3,7,4,10,control,Remain,Full-Time,No
37,Female,A-lev,None,50-60K,1,2,2,2,4,3,7,control,Remain,Not in paid work,No
25,Female,A-lev,Lab,40-50K,1,4,2,2,3,4,6,control,Remain,Not in paid work,No
31,Female,BA,Grn,60-70K,0,4,4,4,9,5,9,control,Remain,Part-Time,No
32,Female,PG,Lab,50-60K,0,5,5,5,9,1,9,control,Remain,Full-Time,Yes
28,Female,BA,Grn,30-40K,0,5,5,3,10,6,10,control,Remain,Part-Time,No
37,Male,GCSEorLess,Rather_not_say,10-20K,1,2,2,2,3,2,5,control,No vote,Full-Time,No
19,Male,BA,Lab,40-50K,1,4,4,5,8,5,5,control,Leave,Not in paid work,Yes
39,Male,GCSEorLess,Con,10-20K,1,2,1,3,2,2,1,control,Leave,Part-Time,No
18,Female,GCSEorLess,None,20-30K,0,3,3,3,5,3,5,control,No vote,Part-Time,No
19,Male,PG,Lab,90-100K,0,5,5,4,9,1,9,control,No vote,Part-Time,Yes
36,Female,BA,Con,50-60K,1,2,4,4,2,2,0,control,Leave,Full-Time,No
27,Male,A-lev,Lab,10-20K,1,4,3,3,4,3,4,control,Leave,Full-Time,No
41,Male,BA,Lab,10-20K,1,3,2,2,0,2,3,control,No vote,Part-Time,No
40,Female,Post2,Con,10-20K,0,4,4,3,8,4,5,control,Leave,Full-Time,No
25,Female,BA,Grn,40-50K,1,5,4,3,3,3,0,control,Leave,Full-Time,No
43,Male,PG,None,Over100K,1,2,2,2,0,0,0,control,Leave,Full-Time,No
47,Male,GCSEorLess,Lab,10-20K,1,1,1,1,0,0,3,control,Leave,Not in paid work,No
34,Female,BA,None,30-40K,1,4,3,3,3,3,2,control,Leave,Not in paid work,No
47,Male,GCSEorLess,Lab,10-20K,1,3,4,2,0,2,5,control,Leave,Not in paid work,No
46,Female,Post2,Lab,10-20K,1,2,4,4,1,9,1,control,Leave,Part-Time,No
63,Male,BA,Con,90-100K,1,2,2,3,2,8,3,control,Leave,Full-Time,No
52,Female,GCSEorLess,UKIP,30-40K,1,2,3,2,3,2,1,control,Leave,Part-Time,No
18,Male,A-lev,Lib,90-100K,0,4,4,4,10,5,8,control,No vote,Part-Time,Yes
49,Male,A-lev,Con,20-30K,1,4,2,3,4,2,3,control,Leave,Part-Time,No
44,Male,BA,Con,40-50K,1,3,1,4,6,3,8,control,Leave,Full-Time,No
57,Male,A-lev,None,30-40K,0,3,2,3,6,5,3,control,Leave,Full-Time,No
38,Male,PG,None,50-60K,1,4,4,3,2,3,5,control,Leave,Full-Time,Yes
34,Female,BA,Lab,40-50K,0,4,4,3,5,5,5,control,No vote,Full-Time,No
40,Male,Post2,None,20-30K,1,4,3,3,2,4,1,control,Leave,Part-Time,No
30,Female,GCSEorLess,None,40-50K,1,2,4,2,5,3,4,control,No vote,Full-Time,No
28,Female,GCSEorLess,Lab,20-30K,1,3,3,3,3,2,5,control,Leave,Not in paid work,No
30,Male,BA,None,40-50K,1,1,1,1,0,0,0,control,Leave,Full-Time,No
53,Male,GCSEorLess,Lab,30-40K,1,2,2,2,3,3,3,control,Leave,Not in paid work,No
30,Female,BA,None,70-80K,1,1,1,1,0,1,0,control,Leave,Full-Time,No
35,Male,BA,Lab,40-50K,1,2,1,4,2,3,4,control,Leave,Full-Time,No
22,Male,BA,Con,40-50K,1,1,2,2,1,0,1,control,Leave,Full-Time,No
23,Female,BA,None,60-70K,1,3,3,3,3,2,3,control,Leave,Unemployed,No
73,Female,BA,Lab,20-30K,1,2,3,4,2,3,10,control,Leave,Not in paid work,No
37,Female,BA,None,70-80K,1,4,3,3,2,3,3,control,Leave,Full-Time,No
25,Male,Post2,Con,Under10K,1,4,4,3,5,6,7,control,Leave,Full-Time,Yes
70,Male,BA,Con,30-40K,1,4,2,2,4,3,5,control,Leave,Not in paid work,No
29,Male,A-lev,Lab,40-50K,1,4,4,3,4,4,4,control,Leave,Full-Time,No
52,Male,Post2,Con,30-40K,1,1,3,2,1,2,5,control,Leave,Full-Time,No
24,Male,BA,Lab,Under10K,1,3,2,4,1,1,2,control,Leave,Full-Time,No
24,Male,GCSEorLess,Lib,20-30K,0,4,4,3,5,3,9,control,No vote,Full-Time,No
32,Male,GCSEorLess,Lab,10-20K,1,3,2,2,2,2,2,control,Leave,Full-Time,No
35,Female,Post2,None,Under10K,1,2,2,4,3,4,4,control,No vote,Part-Time,No
62,Male,GCSEorLess,Con,30-40K,1,1,1,2,0,0,5,control,Leave,Not in paid work,No
33,Male,BA,Grn,60-70K,0,3,3,3,5,4,5,control,Leave,Full-Time,No
40,Female,Post2,Lab,60-70K,0,5,5,4,10,6,7,control,No vote,Not in paid work,No
42,Male,BA,Con,30-40K,1,2,2,3,3,3,2,control,Leave,Full-Time,No
53,Male,GCSEorLess,Lab,40-50K,1,1,1,4,1,1,9,control,Leave,Other,No
31,Male,BA,Lab,20-30K,1,3,2,2,4,3,9,control,Leave,Full-Time,No
36,Female,GCSEorLess,UKIP,30-40K,1,1,2,1,0,0,5,control,Leave,Part-Time,No
35,Female,A-lev,None,50-60K,1,3,4,3,2,3,0,control,Leave,Full-Time,No
28,Male,BA,UKIP,20-30K,1,2,1,2,2,8,3,control,Leave,Full-Time,No
30,Female,BA,None,30-40K,1,1,1,1,0,0,0,control,No vote,Full-Time,No
50,Male,Post2,Con,50-60K,1,3,3,2,2,2,2,control,No vote,Full-Time,No
37,Female,BA,Lab,10-20K,0,5,4,5,10,7,10,control,No vote,Unemployed,No
48,Female,GCSEorLess,Lab,Under10K,0,4,4,3,5,4,6,control,No vote,Not in paid work,No
18,Female,GCSEorLess,None,90-100K,0,5,5,4,9,5,4,control,No vote,Other,Yes
27,Male,A-lev,Lib,10-20K,0,5,3,2,6,4,10,control,Leave,Part-Time,No
45,Male,PG,Con,90-100K,1,2,2,3,0,1,0,control,Leave,Full-Time,No
55,Male,A-lev,Con,30-40K,0,3,4,5,6,5,5,control,Leave,Full-Time,No
19,Female,A-lev,None,10-20K,1,3,1,3,5,0,4,control,No vote,Other,Yes
47,Male,BA,UKIP,10-20K,1,2,2,3,0,0,1,control,Leave,Part-Time,No
54,Male,BA,None,30-40K,1,1,1,1,0,0,0,control,Leave,Full-Time,No
24,Male,BA,Con,20-30K,1,2,1,3,2,1,2,control,Leave,Unemployed,No
49,Female,BA,Con,40-50K,1,2,2,2,0,0,6,control,Leave,Part-Time,No
35,Male,Post2,Con,40-50K,1,4,2,4,0,2,0,control,Leave,Full-Time,No
37,Female,PG,Lab,40-50K,0,4,3,4,9,5,10,control,No vote,Part-Time,No
29,Female,BA,Lab,40-50K,1,4,4,2,5,5,5,control,Leave,Not in paid work,No
32,Female,GCSEorLess,None,20-30K,1,3,2,2,2,1,3,control,Leave,Part-Time,No
53,Female,A-lev,Con,30-40K,1,2,2,4,2,3,5,control,Leave,Not in paid work,No
44,Male,Post2,Lab,30-40K,1,1,1,3,0,0,0,control,Leave,Not in paid work,No
25,Male,BA,Rather_not_say,50-60K,1,2,2,3,5,7,7,control,No vote,Unemployed,No
40,Male,Post2,None,40-50K,0,4,3,4,5,4,8,control,Leave,Full-Time,No
28,Female,BA,Con,50-60K,1,2,2,2,0,1,3,control,Leave,Full-Time,No
33,Female,PG,Lab,Under10K,1,5,4,4,3,2,1,control,Leave,Part-Time,No
35,Male,Post2,Lab,60-70K,1,2,3,2,3,1,5,control,Leave,Full-Time,No
39,Male,GCSEorLess,Con,80-90K,1,4,3,3,0,0,2,control,Leave,Full-Time,No
32,Male,GCSEorLess,UKIP,30-40K,1,4,3,2,1,1,2,control,Leave,Full-Time,No
24,Male,A-lev,None,20-30K,1,2,3,3,2,1,5,control,Leave,Full-Time,No
25,Female,Post2,Con,30-40K,0,4,4,3,4,4,4,control,Leave,Unemployed,No
40,Male,GCSEorLess,Lab,40-50K,0,4,3,4,9,5,9,control,Leave,Full-Time,No
22,Female,Post2,Lab,10-20K,0,5,5,5,5,6,5,control,No vote,Full-Time,No
24,Female,BA,Rather_not_say,10-20K,0,4,4,5,10,6,10,control,No vote,Full-Time,No
46,Male,GCSEorLess,None,10-20K,1,2,4,2,2,4,1,control,No vote,Part-Time,No
19,Male,Post2,Con,70-80K,0,4,4,2,6,5,5,control,No vote,Other,Yes
44,Male,BA,Con,30-40K,1,1,1,1,0,0,4,control,Leave,Full-Time,No
43,Male,A-lev,Con,30-40K,1,4,2,4,3,4,4,control,Leave,Full-Time,No
58,Male,Post2,None,Under10K,1,2,3,2,0,0,1,control,Leave,Part-Time,No
47,Female,BA,Lib,10-20K,1,3,2,2,4,4,6,control,Leave,Part-Time,No
19,Male,A-lev,Lab,20-30K,0,4,4,4,8,5,10,control,No vote,Other,Yes
40,Male,BA,Rather_not_say,20-30K,1,4,2,4,2,3,0,control,Leave,Full-Time,No
33,Female,BA,Con,30-40K,1,2,3,3,2,9,1,control,Leave,Part-Time,No
30,Male,GCSEorLess,UKIP,20-30K,1,1,1,1,0,0,0,control,Leave,Part-Time,No
38,Male,GCSEorLess,None,20-30K,1,2,1,2,2,2,1,control,No vote,Full-Time,No
26,Female,GCSEorLess,Lab,10-20K,1,2,2,2,2,8,2,control,Leave,Not in paid work,No
47,Female,GCSEorLess,Con,30-40K,1,3,3,3,1,4,5,control,No vote,Part-Time,No
