age,gender,education,party,income,time_on_page,too_many_imm,take_jobs,drive_down_wages,create_jobs,brexit_to_cut,increase_imm,sm_or_control,condition,eu_vote,employment,student
54,Male,GCSE or equivalent,Labour,"£10,000-19,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,5,0,control,Remain,Not in paid work,No
34,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£60,000-69,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,4,0,control,Remain,Full-Time,No
38,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£60,000-69,999",NA,Don't know / not sure,Disagree,Disagree,"Neither agree, nor disagree",4,not applicable,4,control,Remain,Part-Time,No
22,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,1,control,Remain,Unemployed,Yes
22,Male,A-level or equivalent,Labour,Would rather not say,NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",5,5,0,control,Remain,Other,Yes
47,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£50,000-59,999",NA,"No, not too many",Disagree,Agree,Agree,1,4,3,control,Remain,Part-Time,No
27,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"£40,000-49,999",NA,Don't know / not sure,"Neither agree, nor disagree",Disagree,Agree,5,6,5,control,Remain,Full-Time,No
29,Female,A-level or equivalent,Green Party,"£20,000-29,999",NA,Don't know / not sure,Strongly disagree,Strongly disagree,Agree,0,3,0,control,Remain,Full-Time,No
27,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,"£60,000-69,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",3,5,3,control,Remain,Part-Time,No
34,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£50,000-59,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Disagree,7,3,8,control,Remain,Part-Time,No
21,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,1,7,2,control,Remain,Part-Time,Yes
31,Female,A-level or equivalent,Would rather not say,Would rather not say,NA,"Yes, too many",Agree,"Neither agree, nor disagree",Disagree,8,9,4,control,Remain,Part-Time,No
30,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Liberal Democrats,"£20,000-29,999",NA,"No, not too many",Disagree,Strongly disagree,"Neither agree, nor disagree",0,5,0,control,Remain,Part-Time,No
35,Male,A-level or equivalent,Labour,"£50,000-59,999",NA,"No, not too many",Disagree,Disagree,Agree,0,5,0,control,Remain,Full-Time,No
47,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£10,000-19,999",NA,Don't know / not sure,Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",2,5,0,control,Remain,Not in paid work,Yes
47,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£60,000-69,999",NA,"Yes, too many",Strongly agree,Strongly agree,Strongly disagree,9,1,7,control,Remain,Full-Time,No
41,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Liberal Democrats,"£70,000-79,999",NA,Don't know / not sure,Disagree,Disagree,"Neither agree, nor disagree",2,5,0,control,Remain,Part-Time,No
28,Female,A-level or equivalent,Labour,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",1,4,2,control,Remain,Not in paid work,Yes
25,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£60,000-69,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,6,0,control,Remain,Full-Time,No
43,Male,Post-secondary below-degree level qualification,Labour,"Under £10,000",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,10,0,control,Remain,Unemployed,No
25,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,Would rather not say,NA,"No, not too many",Disagree,Disagree,Agree,1,5,5,control,Remain,Part-Time,No
45,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£10,000-19,999",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",0,5,5,control,Remain,Not in paid work,No
30,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"Under £10,000",NA,"No, not too many",Strongly disagree,Disagree,Strongly agree,0,6,0,control,Remain,Not in paid work,No
25,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£50,000-59,999",NA,"No, not too many",Strongly disagree,Disagree,Agree,1,7,1,control,Remain,Full-Time,No
36,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Disagree,Agree,not applicable,9,0,control,Remain,Full-Time,Yes
35,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£50,000-59,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",1,5,1,control,Remain,Part-Time,No
32,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",None of the above,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,0,control,Remain,Full-Time,No
25,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,Would rather not say,NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,5,0,control,Remain,Other,Yes
32,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,1,control,Remain,Full-Time,No
26,Female,GCSE or equivalent,None of the above,"£70,000-79,999",NA,Don't know / not sure,"Neither agree, nor disagree","Neither agree, nor disagree",Disagree,5,1,0,control,Remain,Full-Time,No
65,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£10,000-19,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Agree,1,5,4,control,Remain,Part-Time,No
40,Male,GCSE or equivalent,Conservatives,"£50,000-59,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree",Disagree,9,1,7,control,Remain,Full-Time,No
34,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Agree,Agree,1,5,1,control,Remain,Full-Time,No
35,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Disagree,Strongly agree,2,5,0,control,Remain,Full-Time,No
33,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£70,000-79,999",NA,"No, not too many",Disagree,Disagree,Agree,5,5,5,control,Remain,Part-Time,No
73,Female,A-level or equivalent,None of the above,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",2,6,1,control,Remain,Not in paid work,No
26,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£30,000-39,999",NA,"No, not too many",Disagree,Agree,Agree,2,5,1,control,Remain,Full-Time,No
34,Female,GCSE or equivalent,None of the above,"£40,000-49,999",NA,Don't know / not sure,"Neither agree, nor disagree",Disagree,Disagree,0,not applicable,1,control,Remain,Part-Time,No
29,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£50,000-59,999",NA,"No, not too many",Strongly disagree,Disagree,Agree,7,4,7,control,Remain,Full-Time,No
44,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£70,000-79,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",1,5,0,control,Remain,Full-Time,No
21,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"Under £10,000",NA,"No, not too many",Strongly disagree,Disagree,Agree,0,5,0,control,Remain,Unemployed,Yes
34,Female,Post-secondary below-degree level qualification,Labour,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,"Neither agree, nor disagree",9,4,7,control,Remain,Not in paid work,No
38,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,0,control,Remain,Unemployed,No
21,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,Would rather not say,NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,7,not applicable,control,Remain,Part-Time,Yes
38,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£40,000-49,999",NA,"Yes, too many",Disagree,Disagree,Agree,3,5,1,control,Remain,Part-Time,No
38,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Scottish National Party,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,6,0,control,Remain,Full-Time,No
34,Male,Post-secondary below-degree level qualification,Labour,"£60,000-69,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,5,0,control,Remain,Part-Time,No
37,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£20,000-29,999",NA,"No, not too many",Disagree,Disagree,Agree,0,5,0,control,Remain,Part-Time,No
36,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£30,000-39,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Disagree,0,5,0,control,Remain,Part-Time,Yes
41,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Liberal Democrats,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,0,5,0,control,Remain,Part-Time,No
21,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£10,000-19,999",NA,"No, not too many",Disagree,Strongly disagree,Strongly agree,0,5,0,control,Remain,Part-Time,Yes
39,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"£60,000-69,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,0,control,Remain,Not in paid work,No
46,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£30,000-39,999",NA,"No, not too many",Disagree,Strongly disagree,"Neither agree, nor disagree",1,5,5,control,Remain,Full-Time,No
45,Female,GCSE or equivalent,None of the above,"£20,000-29,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",5,3,5,control,Remain,Not in paid work,No
34,Male,A-level or equivalent,Labour,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,5,control,Remain,Full-Time,No
32,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,0,control,Remain,Full-Time,No
34,Female,A-level or equivalent,Labour,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",1,5,0,control,Remain,Not in paid work,Yes
22,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,"£60,000-69,999",NA,"No, not too many",Agree,"Neither agree, nor disagree","Neither agree, nor disagree",3,5,0,control,Remain,Other,Yes
24,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,1,6,4,control,Remain,Full-Time,No
35,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£70,000-79,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,Strongly agree,7,3,5,control,Remain,Full-Time,No
35,Male,Post-secondary below-degree level qualification,Labour,"£10,000-19,999",NA,Don't know / not sure,Disagree,Agree,Agree,1,5,5,control,Remain,Full-Time,No
26,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"£10,000-19,999",NA,"No, not too many",Agree,Agree,Agree,1,4,3,control,Remain,Full-Time,Yes
36,Female,Post-secondary below-degree level qualification,Labour,"£40,000-49,999",NA,"No, not too many",Disagree,Disagree,Agree,2,5,1,control,Remain,Full-Time,No
37,Female,Post-secondary below-degree level qualification,Liberal Democrats,"£50,000-59,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,5,5,0,control,Remain,Full-Time,No
46,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£40,000-49,999",NA,Don't know / not sure,Disagree,Disagree,"Neither agree, nor disagree",5,4,1,control,Remain,Not in paid work,No
67,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",1,5,2,control,Remain,Full-Time,No
36,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"£20,000-29,999",NA,"No, not too many",Disagree,Strongly disagree,"Neither agree, nor disagree",0,5,0,control,Remain,Full-Time,Yes
47,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Scottish National Party,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,5,0,control,Remain,Other,No
62,Female,Post-secondary below-degree level qualification,Liberal Democrats,"£10,000-19,999",NA,"Yes, too many",Disagree,Disagree,Agree,0,4,1,control,Remain,Part-Time,No
25,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"Over £100,000",NA,"No, not too many",Strongly disagree,Disagree,Strongly agree,0,5,0,control,Remain,Full-Time,No
33,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£40,000-49,999",NA,"No, not too many","Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",0,6,0,control,Remain,Part-Time,No
40,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£50,000-59,999",NA,"Yes, too many",Disagree,Agree,Agree,0,5,5,control,Remain,Full-Time,No
22,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£60,000-69,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,2,5,1,control,Remain,Other,Yes
21,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,Would rather not say,NA,"No, not too many",Disagree,Disagree,Agree,0,5,0,control,Remain,Other,Yes
41,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£70,000-79,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,7,0,control,Remain,Full-Time,No
45,Male,Post-secondary below-degree level qualification,Labour,"£90,000-99,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",2,3,2,control,Remain,Full-Time,No
24,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£40,000-49,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",5,5,4,control,Remain,Full-Time,No
33,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£70,000-79,999",NA,Don't know / not sure,Disagree,Disagree,Agree,3,5,2,control,Remain,Part-Time,No
75,Female,No educational qualification,Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,2,5,0,control,Remain,Not in paid work,No
35,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£40,000-49,999",NA,"Yes, too many",Agree,Agree,"Neither agree, nor disagree",9,2,9,control,Remain,Part-Time,No
50,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£50,000-59,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",1,5,0,control,Remain,Part-Time,No
33,Male,Post-secondary below-degree level qualification,Scottish National Party,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,Agree,0,7,1,control,Remain,Not in paid work,No
22,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,1,8,1,control,Remain,Full-Time,No
33,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Disagree,"Neither agree, nor disagree",1,5,1,control,Remain,Full-Time,No
31,Female,A-level or equivalent,Conservatives,"£80,000-89,999",NA,"Yes, too many",Disagree,Disagree,Disagree,7,2,1,control,Remain,Full-Time,No
46,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,Would rather not say,NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",5,4,2,control,Remain,Part-Time,No
58,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Liberal Democrats,"Over £100,000",NA,"No, not too many",Strongly disagree,Strongly disagree,"Neither agree, nor disagree",0,5,5,control,Remain,Not in paid work,No
21,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,Don't know / not sure,Disagree,Disagree,"Neither agree, nor disagree",3,5,2,control,Remain,Unemployed,No
43,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Green Party,"£50,000-59,999",NA,"No, not too many","Neither agree, nor disagree",Agree,Agree,2,5,0,control,Remain,Full-Time,No
27,Female,A-level or equivalent,Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Strongly disagree,"Neither agree, nor disagree",1,5,5,control,Remain,Unemployed,No
20,Female,A-level or equivalent,Labour,"£20,000-29,999",NA,"No, not too many",Disagree,Disagree,Disagree,1,5,2,control,Remain,Part-Time,Yes
32,Female,Post-secondary below-degree level qualification,Labour,"£30,000-39,999",NA,"Yes, too many",Disagree,Disagree,Agree,5,5,5,control,Remain,Part-Time,Yes
39,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,Would rather not say,NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,0,6,0,control,Remain,Part-Time,Yes
40,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£10,000-19,999",NA,"Yes, too many",Agree,Agree,Disagree,8,3,1,control,Remain,Part-Time,No
66,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Scottish National Party,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,0,5,0,control,Remain,Not in paid work,No
23,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,0,5,0,control,Remain,Other,Yes
21,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£10,000-19,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,1,6,1,control,Remain,Full-Time,Yes
35,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Would rather not say,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Agree,"Neither agree, nor disagree",6,3,5,control,Remain,Part-Time,No
54,Female,A-level or equivalent,Labour,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",1,5,0,control,Remain,Part-Time,No
73,Male,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Labour,"£60,000-69,999",NA,"No, not too many",Strongly disagree,"Neither agree, nor disagree",Strongly agree,0,9,0,control,Remain,Not in paid work,No
27,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Disagree,"Neither agree, nor disagree",0,5,not applicable,control,Remain,,No
38,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£40,000-49,999",NA,Don't know / not sure,Disagree,Disagree,"Neither agree, nor disagree",4,5,5,control,Remain,Not in paid work,No
32,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£20,000-29,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Agree,1,5,0,control,Remain,Other,Yes
53,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Green Party,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Strongly agree,Strongly agree,0,5,1,control,Remain,Full-Time,No
37,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly disagree,5,5,3,control,Remain,Not in paid work,No
31,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"£20,000-29,999",NA,Don't know / not sure,"Neither agree, nor disagree","Neither agree, nor disagree","Neither agree, nor disagree",5,5,2,control,Remain,Full-Time,No
18,Male,A-level or equivalent,Conservatives,"£90,000-99,999",NA,"Yes, too many",Agree,Strongly agree,Strongly disagree,10,0,10,control,Remain,Part-Time,Yes
38,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,"Neither agree, nor disagree",4,5,2,control,Remain,Not in paid work,No
24,Male,Post-secondary below-degree level qualification,None of the above,"Over £100,000",NA,Don't know / not sure,Disagree,"Neither agree, nor disagree",Agree,7,3,7,control,Remain,,Yes
22,Female,A-level or equivalent,Conservatives,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,Agree,8,5,0,control,Remain,Part-Time,Yes
30,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Conservatives,"Over £100,000",NA,"Yes, too many",Strongly disagree,Disagree,Agree,7,2,5,control,Remain,Full-Time,No
29,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£10,000-19,999",NA,"No, not too many",Disagree,Disagree,Agree,3,6,4,control,Remain,Part-Time,No
25,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£40,000-49,999",NA,Don't know / not sure,Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",7,4,5,control,Remain,Unemployed,Yes
37,Male,A-level or equivalent,Labour,"£20,000-29,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Agree,1,5,1,control,Remain,Full-Time,No
26,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£40,000-49,999",NA,Don't know / not sure,Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",not applicable,5,not applicable,control,Remain,,No
31,Male,A-level or equivalent,Labour,"£60,000-69,999",NA,Don't know / not sure,"Neither agree, nor disagree",Agree,Agree,2,5,1,control,Remain,Full-Time,No
32,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Liberal Democrats,"£30,000-39,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree","Neither agree, nor disagree",7,5,2,control,Remain,Full-Time,No
52,Male,A-level or equivalent,Conservatives,"£80,000-89,999",NA,"No, not too many","Neither agree, nor disagree",Disagree,"Neither agree, nor disagree",3,5,1,control,Remain,Full-Time,No
37,Male,A-level or equivalent,Labour,"£10,000-19,999",NA,"No, not too many",Disagree,"Neither agree, nor disagree",Disagree,5,3,5,control,Remain,Full-Time,No
60,Female,A-level or equivalent,Labour,"£70,000-79,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree","Neither agree, nor disagree",8,3,3,control,Remain,Full-Time,No
51,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Scottish National Party,"£40,000-49,999",NA,"No, not too many",Strongly disagree,Disagree,Strongly agree,not applicable,not applicable,not applicable,control,NA,NA,NA
36,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£10,000-19,999",NA,"Yes, too many",Agree,"Neither agree, nor disagree",Disagree,7,2,7,control,Remain,Part-Time,No
46,Male,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",None of the above,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Strongly disagree,Strongly agree,0,6,0,control,Remain,Full-Time,No
56,Male,Post-secondary below-degree level qualification,Labour,"£30,000-39,999",NA,"Yes, too many","Neither agree, nor disagree",Agree,"Neither agree, nor disagree",6,2,4,control,Remain,Not in paid work,No
32,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Would rather not say,"£30,000-39,999",NA,"No, not too many",Disagree,Disagree,Agree,0,5,5,control,Remain,Full-Time,No
31,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Liberal Democrats,"£30,000-39,999",NA,"No, not too many",Strongly disagree,Disagree,Agree,1,5,1,control,Remain,Full-Time,No
28,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£70,000-79,999",NA,"No, not too many",Disagree,Disagree,Agree,5,5,1,control,Remain,Not in paid work,No
46,Female,"Bachelors or equivalent degree level qualification (BA, BSc etc.)",Labour,"£60,000-69,999",NA,"Yes, too many",Agree,Agree,Disagree,6,4,5,control,Remain,Full-Time,No
46,Female,"Postgraduate degree or equivalent qualification (MA, MSc, PGCE, PhD etc.)",Conservatives,"£60,000-69,999",NA,"Yes, too many",Agree,Agree,Disagree,10,1,10,control,Remain,Full-Time,No
